Model,Accuracy,Precision,Recall,F1-Score
Baseline (Naive Bayes),0.9484568384772051,0.9385856079404467,0.4946060804184374,0.6478270177692143
Logistic Regression + TF-IDF,0.9581074729750901,0.8982423681776133,0.6348479895390651,0.7439187895039264
BiLSTM (ky projekt),0.9580134732884223,0.9521304576538664,0.5916966328865643,0.7298387096774194
